0	yay
0	yes that's what i want
0	k
0	nice
0	yes sirfr
0	yes baby
0	ýe
0	yes.
0	oui
0	thats fine
0	very much
0	yaah
0	lets do this
0	ok friend
0	yes ...
0	yes you can
0	ofcoure i do
0	confirm
0	alright, cool
0	okay sure
0	yea
0	ja
0	Great
0	cool!
0	yup
0	good
0	coolio
0	Nice
0	okay
0	yes i accept
0	fair enough
0	Ok
0	I have used it in the past
0	good.
0	Yes.
0	ah ok
0	yes i agree
0	well yes
0	yes please
0	yessoo
0	yes accept please
0	ok great
0	its okay
0	yes'
0	Yeah
0	a little
0	i will!
0	ook
0	yes pls
0	Awesome!
0	yeeeeezzzzz
0	I do
0	going super well
0	sure!
0	yes that's great
0	cool story bro
0	great lets do that
0	go
0	ok
0	Yes I do
0	ya thats cool
0	I accept
0	top
0	uh-huh
0	thats great
0	yes cool
0	ok...
0	yeah
0	Yepp
0	jo
0	yes of course
0	yes you idiot
0	oh cool
0	ok good
0	ys
0	si
0	hell yes
0	amazing!
0	yep
0	ya please
0	ya
0	yes,i am
0	yep please
0	yres
0	go ahead
0	oki doki
0	I'm using it
0	oh awesome!
0	Ok.
0	cool
0	YES
0	okie
0	yesh
0	that is cool
0	nice
0	accepted
0	awesome
0	ye splease
0	yes give me information
0	of course
0	fine
0	yes I do
0	Yep!
0	ok i accept
0	I accept.
0	thatsn great
0	fine
0	cool :)
0	ja
0	yes
0	yeah, why not
0	agreed
0	okay
0	yaps
0	yep i want that
0	great!
0	ok cool
0	yas
0	that sounds fine
0	yep, will do thank you
0	great!
0	y
0	YUP
0	kk
0	yess
0	I changed my mind. I want to accept it
0	yop
0	Ofcourse
0	i want that
0	sure
0	jezz
0	yeah do that
0	yes go for it
0	yes it is
0	yes please
0	Cool
0	lets do it
0	sort of
0	you got me, I accept, if you want me to
0	perfect
0	accept
0	i am!
0	Good
0	i accept
1	please tell me who created you
1	i want to know the company which designed you
1	who create you ?
1	can you share your boss with me?
1	who are your author?
1	who's builder
1	who created you
1	which company created you?
1	i want to know who invented you
1	Who designed you?
1	What is the name of your builder?
1	Tell me who built you.
1	who made u?
1	Who was the one who made you?
1	who is behind all this?
1	who is your parent?
1	Tell me the name of the individual who created you.
1	Who built you?
1	Who is it that built you?
1	Who is the legal owner of you?
1	who built u?
1	Who's your boss?
1	where were you made?
1	which company brought you into existence?
1	Who fabricated you?
1	Who was the person that built you?
1	who built you?
1	Who was the one that built you?
1	who is your creator?
1	Who developed and created you?
1	Who is the person that invented you?
1	tell me more about your creators
1	who is your creator
1	please tell me the company who created you
1	What person built you?
1	Who owns you?
1	who are your parents
1	Who is the name of your builder?
1	you are working for which company?
1	who built you
1	Who was the person that made you?
1	i want to get to know your owner
1	who is your mom
1	Who thought to make you?
1	who is your employer?
1	Who is the person who built you?
1	i want to know the company which generated you
1	Who was the person who put you together?
1	Tell me the name of your creator.
1	Who is responsible for making you?
1	Who was the person who made you?
1	Who were you built by?
1	and who built u?
1	who had the idea to generate you?
1	Name the person who built you.
1	what is the name of the smart engineer who creted you ?
1	Who is your programmer?
1	May I ask who invented you?
1	Do you know who made you?
1	who made u
1	i want to know the company which invented you
1	who created you?
1	who your author are?
2	No, I mean how it is possible to use Skype as channel?
2	How to connect messaging channels to rasa?
2	What channels for messaging are supported by rasa?
2	which messaging channels can be used with rasa?
2	Do you know about rasa supporting chanels?
